Exported Data from KCMS (Python)
,Overall Rank,Overall Points,Long Jump Result,Long Jump Placing,Long Jump Point,Javelin Result,Javelin Placing,Javelin Point,200m Result,200m Placing,200m Point,Discus Result,Discus Placing,Discus Point,1500m Result,1500m Placing,1500m Point
Rhys Galloway,927,0,98941.33,15,0,48363.71,479,0,23723.45,233,0,98171.58,14,0,91805.98,918,0
Seth Estes,928,0,49023.76,511,0,9280.27,93,0,13840.87,135,0,44927.86,554,0,49847.62,490,0
Christopher Burnett,929,0,7242.14,903,0,34164.55,358,0,40256.76,419,0,22538.260000000002,782,0,40207.450000000004,391,0
Francesca Aguilar,930,0,27460.95,690,0,13602.380000000001,133,0,37189.32,380,0,81169.84,198,0,53126.57,533,0
Jadon Ritter,931,0,61345.26,376,0,20891.11,205,0,31571.25,317,0,59463.73,412,0,27268.37,253,0
Marques Krause,932,0,49709.28,500,0,73657.27,734,0,83946.02,841,0,88195.06,133,0,91990.36,922,0
Willow Hull,933,0,36666.450000000004,607,0,7030.14,76,0,97999.69,982,0,8951.98,916,0,30966.21,297,0
Eliana Glover,934,0,72889.77,266,0,99418.6,995,0,99728.45,1000,0,49481.79,514,0,65611.62,638,0
Yuliana Mcneil,935,0,76819.45,221,0,19531.34,191,0,27415.13,268,0,81290.87,195,0,72387.6,715,0
Courtney Davila,936,0,37403.14,599,0,56428.3,554,0,39649.42,406,0,5659.76,946,0,7855.66,69,0
Angel Petty,937,0,73349.72,260,0,56577.85,559,0,74537.59,739,0,9663.800000000001,910,0,52990.78,529,0
Nicole Spence,938,0,45245.340000000004,542,0,48366.91,480,0,47464.04,498,0,12094.23,882,0,79594.28,790,0
Makai Bean,939,0,80798.03,182,0,95130.3,942,0,45269.32,471,0,1476.75,990,0,86374.93000000001,860,0
Janiyah Bradley,940,0,44567.03,547,0,70485.53,700,0,12523.460000000001,122,0,22501.03,784,0,85860.96,855,0
Lindsay Kaiser,941,0,74604.37,250,0,46666.62,464,0,26118.72,256,0,30710.0,688,0,84551.91,842,0
Marquis Rivas,942,0,54639.78,451,0,61179.66,604,0,66641.3,667,0,15412.42,856,0,85574.8,852,0
Jayce Burke,943,0,46246.97,534,0,68369.55,680,0,36293.450000000004,371,0,60863.700000000004,396,0,85169.11,846,0
Samson Perez,944,0,50574.69,489,0,35138.67,367,0,77600.05,774,0,45893.24,545,0,11331.95,101,0
Neveah Cummings,945,0,83241.05,158,0,99292.09,990,0,31126.24,308,0,91095.76,98,0,82972.29000000001,833,0
Beckett Price,946,0,43266.12,560,0,27102.12,271,0,93498.35,934,0,922.58,995,0,69360.49,683,0
Francesca Gallegos,947,0,58386.48,400,0,33855.15,355,0,59263.65,603,0,93813.01,74,0,65851.22,640,0
Jaylyn Ibarra,948,0,11016.42,869,0,19187.07,187,0,24655.64,246,0,34892.07,650,0,77130.73,764,0
Claire Drake,949,0,33248.71,646,0,39348.97,403,0,78896.7,787,0,76144.93000000001,246,0,14058.050000000001,136,0
Casey Howe,950,0,90436.42,91,0,52082.630000000005,518,0,8883.82,84,0,72868.86,288,0,98071.52,985,0
Allisson Hunter,951,0,83477.28,155,0,41605.950000000004,424,0,75509.21,749,0,54794.840000000004,466,0,72113.61,712,0
Danna Young,952,0,81359.47,172,0,8549.27,87,0,64500.16,645,0,78276.02,233,0,82290.86,821,0
Dallas Murphy,953,0,61818.44,371,0,53727.75,534,0,67946.75,684,0,71145.2,297,0,70722.38,696,0
Nyasia Villanueva,954,0,992.7,987,0,68443.89,682,0,47651.39,500,0,48590.1,524,0,16499.760000000002,162,0
Fatima Carson,955,0,94452.96,53,0,73318.41,732,0,54487.72,563,0,46694.15,534,0,19313.100000000002,191,0
Lilliana Villa,956,0,82631.19,164,0,93495.71,922,0,62465.270000000004,629,0,26545.04,738,0,16733.47,164,0
Barbara Cochran,957,0,23636.920000000002,730,0,80343.67,796,0,13596.03,132,0,40577.14,597,0,56252.96,561,0
Madison Haley,958,0,6002.35,914,0,74329.83,739,0,46622.43,488,0,54592.700000000004,469,0,76786.03,757,0
Janiya Short,959,0,80562.54000000001,186,0,64387.380000000005,638,0,23683.54,232,0,53166.15,483,0,94261.55,940,0
Fiona Gonzalez,960,0,51038.18,482,0,12608.42,127,0,46219.93,484,0,58130.96,432,0,66740.25,658,0
Adan Aguilar,961,0,59195.020000000004,394,0,11412.960000000001,114,0,91915.08,912,0,3562.9700000000003,969,0,65922.5,644,0
Alyson Pruitt,962,0,72422.67,272,0,15523.380000000001,151,0,59256.29,602,0,61951.33,384,0,98501.66,990,0
Anabelle Conway,963,0,74.34,999,0,87140.01,859,0,23785.63,234,0,64288.130000000005,365,0,32369.38,310,0
Landin Williamson,964,0,99282.75,9,0,47193.86,470,0,95127.38,957,0,17025.28,834,0,69084.41,678,0
Skyler Guerra,965,0,96327.40000000001,38,0,97642.09,973,0,99174.7,996,0,22564.84,781,0,55913.73,555,0
Hailey Dorsey,966,0,29078.32,676,0,31394.8,330,0,39873.33,409,0,92608.2,86,0,70209.91,693,0
Hailie Holden,967,0,57238.74,416,0,85734.93000000001,841,0,81830.05,820,0,38431.83,618,0,52710.82,526,0
Mckenzie Dickerson,968,0,71718.16,280,0,23145.41,231,0,46180.86,482,0,36535.21,637,0,81770.89,813,0
Carter Burnett,969,0,93834.71,57,0,35099.76,366,0,93394.19,931,0,16595.16,840,0,20787.75,196,0
Kason Sanders,970,0,7787.66,898,0,48783.81,485,0,27538.420000000002,269,0,32529.57,672,0,25645.8,240,0
Kaydence Pineda,971,0,95016.47,47,0,55896.15,550,0,39941.57,411,0,39040.79,614,0,22218.11,207,0
Thaddeus Jones,972,0,34135.17,637,0,50688.6,508,0,28411.41,278,0,61173.450000000004,390,0,9369.880000000001,83,0
Janiyah Chavez,973,0,39684.71,584,0,96305.90000000001,961,0,31327.05,312,0,19506.920000000002,811,0,29698.56,280,0
Mira Barnett,974,0,66766.61,322,0,31577.24,336,0,12990.85,126,0,35585.6,646,0,55433.16,549,0
Paisley Kirk,975,0,73328.64,262,0,68360.81,679,0,28539.96,281,0,40007.61,606,0,85760.55,853,0
Demetrius Grant,976,0,44358.41,549,0,19984.56,194,0,28451.77,280,0,22605.21,780,0,51270.61,514,0
Ramon Kramer,977,0,7955.06,895,0,80533.04000000001,798,0,55065.04,568,0,87594.05,140,0,43850.21,435,0
Ryan Ross,978,0,97614.75,28,0,49411.68,496,0,58542.6,596,0,72681.31,290,0,48786.15,482,0
Braxton Frey,979,0,85864.57,137,0,27102.49,272,0,63684.83,639,0,40082.07,603,0,7379.96,63,0
Yaretzi Caldwell,980,0,15807.9,806,0,25940.41,256,0,78325.36,779,0,2383.87,985,0,43482.98,431,0
Denisse Harrison,981,0,74237.29000000001,251,0,42456.61,434,0,49488.25,515,0,96250.64,41,0,57385.99,571,0
Fernando Larsen,982,0,94462.44,51,0,61818.98,612,0,6819.01,63,0,43914.11,565,0,75775.83,741,0
Alina Reynolds,983,0,55388.98,442,0,2058.05,25,0,94901.85,952,0,25435.32,747,0,4962.52,43,0
Charlee Armstrong,984,0,13132.48,837,0,45466.91,453,0,89728.1,892,0,48425.1,525,0,62830.29,606,0
Graham Randolph,985,0,41800.3,569,0,20901.23,206,0,34770.270000000004,351,0,57961.49,433,0,12022.06,110,0
Kathleen Griffin,986,0,40948.93,578,0,29031.48,295,0,28980.86,288,0,60769.01,397,0,78832.73,786,0
Chaz Clarke,987,0,62564.090000000004,365,0,30061.3,311,0,41612.04,436,0,20897.8,802,0,28851.850000000002,267,0
Braden Pitts,988,0,15969.82,803,0,33124.83,346,0,87137.41,865,0,15483.68,855,0,12357.42,115,0
Austin Little,989,0,18897.29,780,0,5536.54,62,0,77527.69,772,0,32744.940000000002,670,0,22696.49,212,0
Johnny Nielsen,990,0,1170.95,984,0,1897.3600000000001,22,0,54339.91,560,0,75509.51,251,0,32292.5,309,0
German Beard,991,0,61687.43,372,0,71592.32,711,0,35931.18,367,0,88268.81,132,0,82340.51,823,0
Juan Bass,992,0,96233.69,39,0,96327.44,962,0,47422.31,497,0,98333.15000000001,13,0,90653.5,905,0
Greta Page,993,0,25353.53,712,0,40970.76,417,0,50752.130000000005,526,0,51912.21,494,0,7796.59,68,0
Zackery Wiggins,994,0,79470.93000000001,194,0,86864.35,855,0,25504.45,253,0,35720.35,644,0,55884.97,553,0
Harmony Garrison,995,0,31713.91,654,0,28075.8,286,0,72896.59,727,0,95547.24,49,0,28937.37,270,0
Celia Costa,996,0,18937.510000000002,779,0,81193.05,800,0,45588.89,476,0,85963.81,151,0,26703.75,251,0
Jaquan Tyler,997,0,15724.62,807,0,39561.47,406,0,24060.36,239,0,84387.89,159,0,93492.58,932,0
Linda Buchanan,998,0,52725.62,467,0,15097.04,148,0,9565.79,92,0,23938.08,767,0,90522.06,903,0
Angel Marsh,999,0,44798.35,544,0,9698.41,97,0,40490.08,422,0,63201.380000000005,375,0,18426.88,182,0
Celia Mcgee,1000,0,35058.62,625,0,15012.93,147,0,18879.58,190,0,42098.21,578,0,25859.48,241,0
